window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
270,135000,139000,140000,0.006065115294990792,0.058823529411764705,0.01216629086649218,200,160,40,0.010952472686767578,0.5219097137451172,
273,136500,140500,141500,-0.00022648922785378778,0.5686274509803921,0.013576492831380288,200,160,40,0.010749578475952148,0.4790353775024414,
277,138500,142500,143500,-0.004617606346947106,0.8431372549019608,0.014400730282252116,200,160,40,0.007756233215332031,0.5200800895690918,
281,140500,144500,145500,0.0004689572926052932,0.4117647058823529,0.014131956931615793,200,160,40,0.004735469818115234,0.49263644218444824,
285,142500,146500,147500,0.008001326147343168,0.09803921568627451,0.01387761590037845,200,160,40,0.021303892135620117,0.48798441886901855,
288,144000,148000,149000,-0.0001477592840350983,0.4117647058823529,0.013172476217718856,200,160,40,0.010062932968139648,0.5379688739776611,
292,146000,150000,151000,0.027433455889835257,0.0196078431372549,0.013127064739262508,200,160,40,0.02210378646850586,0.4717845916748047,
296,148000,152000,153000,0.071565911137143,0.0196078431372549,0.01617423873519916,200,160,40,0.015379667282104492,0.4974384307861328,
300,150000,154000,155000,0.002641400429556573,0.3333333333333333,0.013888370350675578,200,160,40,0.008561134338378906,0.45158839225769043,
303,151500,155500,156500,0.014780551904437583,0.0196078431372549,0.015021625552705063,200,160,40,0.00794672966003418,0.49608349800109863,
307,153500,157500,158500,0.003549404948729795,0.19607843137254902,0.014895072497195485,200,160,40,0.008561849594116211,0.48969388008117676,
311,155500,159500,160500,0.016527999778286923,0.0392156862745098,0.015127782414267314,200,160,40,0.008418560028076172,0.5421328544616699,
315,157500,161500,162500,0.01495905628163402,0.0392156862745098,0.010735518127947406,200,160,40,0.008401870727539062,0.4754061698913574,
318,159000,163000,164000,0.011436123016973915,0.0392156862745098,0.012448137799943639,200,160,40,0.0,0.4581296443939209,
322,161000,165000,166000,-0.005163673784492284,0.8431372549019608,0.013442952004179484,200,160,40,0.00783395767211914,0.4582335948944092,
326,163000,167000,168000,0.0004124971806248878,0.5686274509803921,0.013409444942924047,200,160,40,0.016109228134155273,0.4848592281341553,
330,165000,169000,170000,0.002052365572335596,0.43137254901960786,0.011694209302393389,200,160,40,0.00966191291809082,0.4786503314971924,
333,166500,170500,171500,-0.0024084932727372055,0.7058823529411765,0.012318586091808319,200,160,40,0.00775146484375,0.4639732837677002,
337,168500,172500,173500,-0.00268329841750492,0.6470588235294118,0.012196953276884352,200,160,40,0.009078502655029297,0.44603395462036133,
341,170500,174500,175500,-0.003966371812616776,0.7843137254901961,0.012616067045811544,200,160,40,0.008540868759155273,0.47280311584472656,
345,172500,176500,177500,0.006251300698227241,0.11764705882352941,0.013363819072271821,200,160,40,0.012280702590942383,0.5319263935089111,
348,174000,178000,179000,-4.452348397268602e-05,0.47058823529411764,0.013564106482170137,200,160,40,0.009145498275756836,0.6055402755737305,
352,176000,180000,181000,-0.001615538143972306,0.5098039215686274,0.013512015201482904,200,160,40,0.009049415588378906,0.4907522201538086,
356,178000,182000,183000,0.0007915192055545639,0.45098039215686275,0.011663537296959056,200,160,40,0.009997844696044922,0.5224428176879883,
360,180000,184000,185000,-0.004987326877860604,0.803921568627451,0.012710639305505235,200,160,40,0.009811162948608398,0.5207757949829102,
363,181500,185500,186500,0.0011580667752364993,0.35294117647058826,0.013080448782254655,200,160,40,0.010251760482788086,0.574127197265625,
367,183500,187500,188500,-0.004312513797291001,0.8235294117647058,0.012744235382391098,200,160,40,0.012520074844360352,0.5182719230651855,
371,185500,189500,190500,0.002316488690825902,0.3137254901960784,0.013651403289562847,200,160,40,0.008900642395019531,0.5206835269927979,
375,187500,191500,192500,0.008281388055010858,0.09803921568627451,0.012663317265211556,200,160,40,0.008007526397705078,0.5184943675994873,
