window_id,start_ref,start_test,end_test,mmd_stat,gamma,p_cls,perm_mean,perm_std,top_ks,top_psi
18,9000,13000,14000,0.00218118347561691,0.003514933390553832,0.009900990099009901,-4.548936422006822e-05,0.0003234105794950272,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;M4_freq:0.1175:4.6e-10,TransactionID:16.5786;TransactionDT:16.5715;V165:0.0831
19,9500,13500,14500,0.0033510983495894653,0.003725878421786242,0.009900990099009901,2.49938321264076e-05,0.00034894007419025377,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;P_emaildomain_freq:0.1565:1.5e-17,TransactionID:16.5786;TransactionDT:16.5786;D9:1.1084
20,10000,14000,15000,0.0068478510086373845,0.0031833115906395,0.009900990099009901,2.5653728898193952e-05,0.0004386947486518302,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V127:0.1993:3.0e-28,TransactionID:16.5786;TransactionDT:16.5715;V145:1.0128
21,10500,14500,15500,0.010554028698985807,0.002700340759958446,0.009900990099009901,-7.735656052889617e-06,0.00035304627944242757,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D15:0.2477:1.3e-43,TransactionID:16.5786;TransactionDT:16.5786;D9:1.0704
22,11000,15000,16000,0.01909052056357119,0.0026302702711965545,0.009900990099009901,-1.3928112794834302e-05,0.00036882220668344584,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D15:0.2885:3.2e-59,TransactionDT:16.5786;TransactionID:16.5786;D9:1.0704
23,11500,15500,16500,0.015410993960876196,0.002767781935262929,0.009900990099009901,-1.5122568697869543e-05,0.00036594837855569433,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D15:0.2560:1.4e-46,TransactionID:16.5786;TransactionDT:16.5715;C11:0.5543
24,12000,16000,17000,0.012541263892815957,0.0025788970025428,0.009900990099009901,5.6066210228657983e-05,0.00040567899126984466,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D15:0.1948:5.4e-27,TransactionDT:16.5786;TransactionID:16.5786;C11:0.5441
25,12500,16500,17500,0.01121105281606427,0.0024267308359686855,0.009900990099009901,7.186553663122374e-05,0.0004533796893168447,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D15:0.1325:1.1e-12,TransactionID:16.5786;TransactionDT:16.5786;C11:0.5405
26,13000,17000,18000,0.0078160350935923,0.002436029383115683,0.009900990099009901,5.943903533331962e-06,0.00040740247041357725,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1217:9.0e-11,TransactionID:16.5786;TransactionDT:16.5786;D9:0.1464
27,13500,17500,18500,0.004743514691573525,0.002571626238771312,0.009900990099009901,-4.8310611099766645e-05,0.0003083553189586077,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V54:0.1037:6.2e-08,TransactionDT:16.5786;TransactionID:16.5786;V67:0.9485
28,14000,18000,19000,0.001626754016725851,0.0025547665108511183,0.019801980198019802,-4.206585355698955e-05,0.0003689195427338334,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.0950:1.0e-06,TransactionDT:16.5786;TransactionID:16.5786;D9:1.1338
29,14500,18500,19500,0.001254382918576935,0.0026704482730328842,0.0297029702970297,1.2233341730183423e-05,0.00042133827594405455,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1175:4.6e-10,TransactionID:16.5786;TransactionDT:16.5786;D9:1.1338
30,15000,19000,20000,0.0018499610041942116,0.002843607038740433,0.009900990099009901,4.55940620163231e-05,0.000419545676990943,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1308:2.3e-12,TransactionID:16.5786;TransactionDT:16.5786;D9:1.1338
31,15500,19500,20500,0.000398910791879592,0.0027979224436183647,0.16831683168316833,1.2997079693588542e-05,0.0003614496454103159,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V164:0.0867:1.1e-05,TransactionID:16.5786;TransactionDT:16.5786;addr1:0.0282
32,16000,20000,21000,0.0012580010603575609,0.0026882523436440884,0.009900990099009901,-1.1619317515791927e-05,0.00038870742755264256,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1232:5.0e-11,TransactionDT:16.5786;TransactionID:16.5786;D9:0.0746
33,16500,20500,21500,0.0025828849163826995,0.0026386966356049127,0.009900990099009901,-2.498915790348999e-05,0.00039971810568213657,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1373:1.4e-13,TransactionID:16.5786;TransactionDT:16.5786;D9:0.1415
34,17000,21000,22000,0.0013382395471606134,0.0025873588581107653,0.019801980198019802,-1.8308063881056214e-06,0.00042838168332339085,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1020:1.1e-07,TransactionID:16.5786;TransactionDT:16.5786;addr1:0.0564
35,17500,21500,22500,0.0007016910108448293,0.002621490839287917,0.06930693069306931,5.837869549509822e-06,0.0004181777897757816,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1040:5.7e-08,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0898
36,18000,22000,23000,0.0007533525793752549,0.0026755682285988687,0.039603960396039604,-5.847518375231342e-05,0.0003158546055748915,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.0930:1.8e-06,TransactionDT:16.5786;TransactionID:16.5786;D9:1.3681
37,18500,22500,23500,0.00024143022567768568,0.002938341235402095,0.297029702970297,4.784832741861589e-05,0.00039500385578507806,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1077:1.6e-08,TransactionID:16.5786;TransactionDT:16.5786;D9:1.3681
38,19000,23000,24000,0.0006705417993460028,0.0026637856292213683,0.0594059405940594,-6.601018311543472e-05,0.0003640285255251742,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.0895:5.2e-06,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0609
39,19500,23500,24500,-0.0002548690640329365,0.0026037676109751627,0.693069306930693,-2.0527693960228354e-05,0.00036500236682333507,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.0910:3.3e-06,TransactionID:16.5786;TransactionDT:16.5786;C13:0.0207
40,20000,24000,25000,0.00034021265098349573,0.002149043887979356,0.12871287128712872,-4.310013686810388e-05,0.00035517707112843277,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1328:9.9e-13,TransactionID:16.5786;TransactionDT:16.5786;D9:0.1302
41,20500,24500,25500,0.0014596168181155722,0.0023933238881029485,0.019801980198019802,-3.6106931292152475e-05,0.0004025153097595252,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1280:7.3e-12,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0394
42,21000,25000,26000,0.0006529320332120392,0.0022941796855617284,0.0297029702970297,2.784351858586831e-07,0.0003949719381160595,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1250:2.5e-11,TransactionID:16.5786;TransactionDT:16.5786;addr1:0.0538
43,21500,25500,26500,0.002141515615353251,0.002589258276962841,0.009900990099009901,2.3378393514008612e-05,0.0003542896922724682,TransactionID:0.9900:0.0e+00;TransactionDT:0.9898:0.0e+00;D9:0.1398:4.6e-14,TransactionID:16.5786;TransactionDT:16.5786;D9:1.2016
44,22000,26000,27000,0.0007613443670839715,0.0027545696173249634,0.0297029702970297,-2.9913076220586808e-05,0.00033169111086514736,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1348:4.2e-13,TransactionID:16.5786;TransactionDT:16.5786;V164:1.6570
45,22500,26500,27500,-1.478194264747934e-05,0.00294280399392469,0.42574257425742573,1.4455415436023245e-05,0.00039741710155399813,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1345:4.7e-13,TransactionID:16.5786;TransactionDT:16.5786;D9:1.2996
46,23000,27000,28000,-0.00024331953682699137,0.0027949635508617648,0.7425742574257426,4.8906002432247406e-05,0.000387793028174298,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V143:0.0998:2.3e-07,TransactionID:16.5786;TransactionDT:16.5786;V143:0.3140
47,23500,27500,28500,0.002957163880874525,0.002220597882653143,0.009900990099009901,3.0547478878557574e-05,0.0003802465963589479,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1427:1.2e-14,TransactionID:16.5786;TransactionDT:16.5786;D9:0.3765
48,24000,28000,29000,0.001331557189173438,0.0022212233885325026,0.019801980198019802,4.654110122248589e-05,0.0003873122423728337,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1410:2.6e-14,TransactionID:16.5786;TransactionDT:16.5786;D9:0.1146
49,24500,28500,29500,0.0006640649388811593,0.002860202312611886,0.10891089108910891,7.231854766125423e-05,0.00043985468854331155,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D10:0.0993:2.7e-07,TransactionDT:16.5786;TransactionID:16.5786;V144:0.2727
50,25000,29000,30000,0.0004748560415204217,0.0029078515272963883,0.1188118811881188,-6.019050923518065e-06,0.0003806207347604054,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V144:0.1123:3.2e-09,TransactionID:16.5786;TransactionDT:16.5786;V144:1.7440
51,25500,29500,30500,1.0882756587449194e-05,0.0026399439156530612,0.37623762376237624,-3.274310389148827e-05,0.00036298114340374045,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V144:0.0998:2.3e-07,TransactionID:16.5786;TransactionDT:16.5786;D9:1.2783
52,26000,30000,31000,0.00021059423808145183,0.0025990439306309765,0.18811881188118812,2.9232994218797436e-05,0.00036419097415538377,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1130:2.5e-09,TransactionDT:16.5786;TransactionID:16.5786;D9:1.5099
53,26500,30500,31500,0.0014240990074960713,0.0027238179281408614,0.009900990099009901,-5.1929458713046995e-05,0.0003308889007191653,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1175:4.6e-10,TransactionID:16.5786;TransactionDT:16.5786;D9:1.5099
54,27000,31000,32000,0.0021539586747398864,0.00275018700995924,0.019801980198019802,6.32501714733169e-05,0.0004734203436493272,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V151:0.0935:1.6e-06,TransactionID:16.5786;TransactionDT:16.5786;addr1:0.0587
55,27500,31500,32500,0.005930130357678864,0.0022540445941995895,0.009900990099009901,-6.22110384706387e-05,0.00033414154381362123,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1250:2.5e-11,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0698
56,28000,32000,33000,0.005010625465405871,0.0026218372264258157,0.009900990099009901,-1.2050545286723668e-06,0.0004064983659129207,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1350:3.7e-13,TransactionDT:16.5786;TransactionID:16.5786;D9:0.1496
57,28500,32500,33500,0.005720668868372192,0.0025973463558706758,0.009900990099009901,0.00013788537979083192,0.0005197418195878609,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1450:4.1e-15,TransactionDT:16.5786;TransactionID:16.5786;D9:0.1255
58,29000,33000,34000,0.004225712470072418,0.002233719031647914,0.009900990099009901,2.0976017910354637e-05,0.0003676593575361525,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1560:2.0e-17,TransactionID:16.5786;TransactionDT:16.5786;addr1:0.0463
59,29500,33500,34500,0.0004046418038721189,0.002868953013168455,0.12871287128712872,-3.1410363715456137e-06,0.0004028448233116897,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1450:4.1e-15,TransactionID:16.5786;TransactionDT:16.5786;D9:1.2229
60,30000,34000,35000,0.0024836301569111097,0.003018463901678397,0.009900990099009901,-1.422925329296998e-05,0.0003674674338698084,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V159:0.1350:3.7e-13,TransactionDT:16.5786;TransactionID:16.5786;D9:1.5142
61,30500,34500,35500,0.0016350023590108176,0.0030434568332809208,0.019801980198019802,-5.944805276516751e-05,0.0004249769214660359,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1350:3.7e-13,TransactionDT:16.5786;TransactionID:16.5786;D9:1.5142
62,31000,35000,36000,0.00026498946805508794,0.0031925577926412985,0.24752475247524752,1.6932976366963448e-05,0.0004657367693336797,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1330:8.9e-13,TransactionID:16.5786;TransactionDT:16.5786;V143:0.1674
63,31500,35500,36500,0.0016996452628470493,0.0026131876206509433,0.009900990099009901,-6.843053982401593e-06,0.00033593387406514487,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V159:0.1440:6.5e-15,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0745
64,32000,36000,37000,0.0019998431628769353,0.0027342122130505414,0.019801980198019802,8.272402690716608e-06,0.00047259832020293835,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V159:0.1560:2.0e-17,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0861
65,32500,36500,37500,0.00015915934735666326,0.0027621406639818874,0.25742574257425743,-1.1942879728781274e-05,0.00033791381010840914,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1550:3.2e-17,TransactionID:16.5786;TransactionDT:16.5786;V150:0.0432
66,33000,37000,38000,0.0004128986129263712,0.0026595331729877053,0.12871287128712872,-1.101226029662783e-05,0.00038147039716815147,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1580:7.1e-18,TransactionID:16.5786;TransactionDT:16.5786;D9:0.3745
67,33500,37500,38500,0.0010360489401688433,0.0025720285150993734,0.06930693069306931,7.674328154499754e-05,0.00045511519388588057,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V164:0.1945:6.3e-27,TransactionID:16.5786;TransactionDT:16.5786;V164:1.9348
68,34000,38000,39000,0.00037697399707714574,0.0026760461347313403,0.13861386138613863,-9.744127982120876e-06,0.00032777395375385693,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1517:1.6e-16,TransactionID:16.5786;TransactionDT:16.5715;V164:0.1920
69,34500,38500,39500,0.0005950424980329938,0.0027071800275869987,0.06930693069306931,-3.707443187460413e-05,0.00033491215245161034,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V166:0.1527:9.9e-17,TransactionDT:16.5786;TransactionID:16.5786;V144:1.9114
70,35000,39000,40000,0.004054742900390318,0.0024764452115383895,0.009900990099009901,-8.708606706881339e-05,0.00034439140705063326,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1832:6.2e-24,TransactionID:16.5786;TransactionDT:16.5786;V144:1.7640
71,35500,39500,40500,0.0013635014907491527,0.0024050563857396495,0.009900990099009901,-3.9804002287375795e-05,0.00036104048471667356,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1630:5.3e-19,TransactionID:16.5786;TransactionDT:16.5786;V166:1.6440
72,36000,40000,41000,0.004029997303869548,0.0025360783994621025,0.009900990099009901,1.56311785467933e-06,0.0004217166519803919,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1410:2.6e-14,TransactionDT:16.5786;TransactionID:16.5786;V166:0.3484
73,36500,40500,41500,0.0010849391252523155,0.0025469835596809843,0.039603960396039604,1.2986939585577506e-05,0.000370499212125853,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V150:0.1470:1.6e-15,TransactionDT:16.5786;TransactionID:16.5786;D9:1.5531
74,37000,41000,42000,0.0005774520697989782,0.0026500134993391864,0.1188118811881188,4.187414217935448e-05,0.00042709631037720193,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1465:2.0e-15,TransactionID:16.5786;TransactionDT:16.5786;D9:1.6093
75,37500,41500,42500,0.0004214549807659562,0.00275075564731493,0.1188118811881188,-4.930533237188506e-06,0.00036249610321028653,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1502:3.4e-16,TransactionID:16.5786;TransactionDT:16.5715;D9:1.6093
76,38000,42000,43000,0.00039223454191295026,0.0027804342637540633,0.19801980198019803,-5.3102250330083755e-06,0.0004570077056193193,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1792:6.5e-23,TransactionID:16.5786;TransactionDT:16.5786;D9:1.6938
77,38500,42500,43500,0.0023497535168579553,0.0028930232226155677,0.019801980198019802,4.5327229668457034e-06,0.0005268358219545386,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1270:1.1e-11,TransactionID:16.5786;TransactionDT:16.5786;V166:1.6530
78,39000,43000,44000,0.0014935390825592254,0.002908599676899743,0.009900990099009901,-1.637022469724414e-05,0.0003378304998344458,TransactionID:0.9900:0.0e+00;TransactionDT:0.9898:0.0e+00;V165:0.1172:5.1e-10,TransactionID:16.5786;TransactionDT:16.5786;V165:1.6746
79,39500,43500,44500,0.0007331877243945684,0.002402864654849459,0.09900990099009901,5.241333712265872e-05,0.00046236260781404087,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1885:2.6e-25,TransactionDT:16.5786;TransactionID:16.5786;D9:2.1602
80,40000,44000,45000,0.0010941466120297783,0.00247021081897839,0.0297029702970297,-3.28393683829975e-05,0.0003624718507000497,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1730:2.3e-21,TransactionID:16.5786;TransactionDT:16.5786;D9:1.9049
81,40500,44500,45500,0.001240750767823151,0.002625206666682322,0.039603960396039604,7.547014506274596e-05,0.000476998099202146,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1298:3.5e-12,TransactionID:16.5786;TransactionDT:16.5786;D9:1.9024
82,41000,45000,46000,0.0005838819861083699,0.002587432286811202,0.0891089108910891,3.406899900924465e-05,0.00037654180235632573,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V159:0.1318:1.5e-12,TransactionID:16.5786;TransactionDT:16.5786;V159:1.6223
83,41500,45500,46500,0.0016801684964877772,0.0026904405264604843,0.009900990099009901,1.107540020176323e-05,0.00039129455921640255,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1490:6.1e-16,TransactionID:16.5786;TransactionDT:16.5786;D9:1.6598
84,42000,46000,47000,0.0020047216727399064,0.0026365218249946106,0.009900990099009901,1.9766246859131976e-05,0.0004187617605832386,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1837:4.6e-24,TransactionID:16.5786;TransactionDT:16.5786;D9:1.6598
85,42500,46500,47500,0.001797316934284643,0.002675932653475293,0.019801980198019802,-4.711460535494094e-05,0.0003859870377307113,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1398:4.6e-14,TransactionID:16.5786;TransactionDT:16.5786;V151:1.7832
86,43000,47000,48000,0.0013687642066511074,0.0027885240332346127,0.0297029702970297,7.596832444815904e-05,0.0004911931494851677,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V159:0.1182:3.5e-10,TransactionID:16.5786;TransactionDT:16.5786;V164:1.6657
87,43500,47500,48500,0.0010640817524552038,0.002517833264494676,0.019801980198019802,3.9932902961350436e-05,0.00037846120743098175,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1380:1.0e-13,TransactionID:16.5786;TransactionDT:16.5786;V151:1.8531
88,44000,48000,49000,0.00023031327065314855,0.002401476729974532,0.25742574257425743,2.2789877990319064e-05,0.00040226122627441533,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1278:8.1e-12,TransactionID:16.5786;TransactionDT:16.5786;D9:1.8517
89,44500,48500,49500,0.00019227054585546632,0.0027432363843397215,0.2079207920792079,-7.699630650284118e-06,0.00036421155337104037,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1085:1.2e-08,TransactionID:16.5786;TransactionDT:16.5715;D9:1.7986
90,45000,49000,50000,0.00038660227483000575,0.0024717313721094683,0.1188118811881188,-1.2751056807178695e-05,0.0003130551212362087,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1040:5.7e-08,TransactionID:16.5786;TransactionDT:16.5786;V159:1.6223
91,45500,49500,50500,0.0013129778725877728,0.002562218544291123,0.0297029702970297,4.581999076354482e-05,0.00044756955946960306,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1583:6.2e-18,TransactionID:16.5786;TransactionDT:16.5786;V165:1.6397
92,46000,50000,51000,0.002256473917072954,0.0024874022652501106,0.009900990099009901,8.427427895844941e-05,0.000443143436412206,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1442:5.8e-15,TransactionID:16.5786;TransactionDT:16.5786;D9:1.7590
93,46500,50500,51500,0.00532309240493789,0.0026862614270015033,0.009900990099009901,-2.078417364072882e-05,0.0003580706334686373,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1457:2.9e-15,TransactionDT:16.5786;TransactionID:16.5786;D9:1.7590
94,47000,51000,52000,0.005941231449291262,0.0027899083185596307,0.009900990099009901,0.0001589876752061281,0.00046401037462982504,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;C1:0.0920:2.5e-06,TransactionID:16.5786;TransactionDT:16.5786;addr1:0.0391
95,47500,51500,52500,0.0040797592686065975,0.0025629197869823437,0.009900990099009901,-5.284721836320561e-05,0.000320266644644509,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1363:2.2e-13,TransactionID:16.5786;TransactionDT:16.5786;D9:0.3299
