window_id,start_ref_cls,start_test_cls,end_test_cls,mmd_stat,gamma,p_cls,perm_mean,perm_std,top_ks,top_psi,start_ref_q,start_test_q,end_test_q,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error,C_cls,C_q,w_q_raw,w_q,w_cls,S_hybrid,S_hybrid_z,drift_flag
0,0,4000,5000,0.0587431360796892,0.0158164816399306,0.0099009900990099,-6.170795352478109e-07,0.0002798999094768,Time:0.9900:0.0e+00;V12:0.9475:0.0e+00;V14:0.8565:4.7e-322,Time:16.5786;V12:15.3438;V14:4.3728,0.0,4000.0,5000.0,0.0431909828684679,0.0196078431372549,0.0121661681049636,200.0,160.0,40.0,0.0083239078521728,0.4778625965118408,,0.9900990099009901,0.9803921568627451,0.4511379663456398,0.4511379663456398,0.5488620336543601,0.9857198799617002,2.8662748134364637,1
1,500,4500,5500,0.138930311330399,0.0141323289452532,0.0099009900990099,2.162978415591876e-05,0.000277575861371,Time:0.9898:0.0e+00;V12:0.8157:7.2e-322;V14:0.6770:2.1e-321,Time:16.5573;V12:11.8095;V13:3.2607,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
2,1000,5000,6000,0.1570387360755414,0.0130886347970581,0.0099009900990099,-2.572449343107852e-05,0.0002572154098397,Time:0.9900:0.0e+00;V12:0.7057:1.6e-321;V14:0.5587:3.2e-232,Time:16.5716;V12:7.3823;V14:1.7521,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
3,1500,5500,6500,0.1231168402821252,0.0138579992836523,0.0099009900990099,1.2400170799127252e-05,0.0002971412698041,Time:0.9900:0.0e+00;V12:0.5870:2.7e-258;V14:0.4405:1.2e-140,Time:16.5715;V12:6.4343;V14:1.0996,1500.0,5500.0,6500.0,0.006029061662102,0.1568627450980392,0.0123529830554541,200.0,160.0,40.0,0.0080068111419677,0.4530270099639892,,0.9900990099009901,0.8431372549019608,0.44736758291921336,0.44736758291921336,0.5526324170807866,0.9243530847855087,2.3772583622403345,1
4,2000,6000,7000,0.105035546096645,0.0143810826001353,0.0099009900990099,-8.432311818526994e-06,0.0002898236642768,Time:0.9900:0.0e+00;V12:0.4723:1.3e-162;V9:0.3508:5.0e-88,Time:16.5646;V12:5.6992;V14:0.6539,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
5,2500,6500,7500,0.0837787624103296,0.0139009913634366,0.0099009900990099,-1.1902663344152132e-05,0.0002606351752402,Time:0.9900:0.0e+00;V12:0.3460:1.3e-85;V9:0.3160:3.3e-71,Time:16.5715;V12:3.8813;V9:0.5291,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
6,3000,7000,8000,0.0798033032955722,0.0162828646423946,0.0099009900990099,8.259541241903978e-06,0.0002518720552178,Time:0.9900:0.0e+00;V26:0.3645:3.2e-95;V9:0.3137:3.5e-70,Time:16.5787;V12:1.0843;V26:0.7617,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
7,3500,7500,8500,0.0925194877445292,0.0208381030854773,0.0099009900990099,-1.158326677263677e-05,0.0002759816855729,Time:0.9900:0.0e+00;V26:0.5158:9.0e-196;V27:0.3407:5.5e-83,Time:16.5786;V26:1.4556;Amount:0.6191,3500.0,7500.0,8500.0,0.021745976675244,0.0196078431372549,0.0131925799327652,200.0,160.0,40.0,0.0079851150512695,0.447171688079834,,0.9900990099009901,0.9803921568627451,0.4311723848557865,0.4311723848557865,0.5688276151442135,0.9859136829270454,2.867819180191682,1
8,4000,8000,9000,0.0694734677078283,0.0179282253613206,0.0099009900990099,3.094463774252043e-05,0.0002883165504643,Time:0.9895:0.0e+00;V26:0.4390:1.2e-139;V27:0.2507:1.1e-44,Time:16.5788;V26:1.0004;V27:0.4024,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
9,4500,8500,9500,0.0151662641527412,0.0178827532164501,0.0099009900990099,2.4390322328657897e-05,0.0002626425437895,Time:0.9900:0.0e+00;V26:0.1258:1.8e-11;V15:0.0867:1.1e-05,Time:16.5715;V26:0.0691;V15:0.0669,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
10,5000,9000,10000,0.0192636528977097,0.0183098002248997,0.0099009900990099,-2.532664435598741e-05,0.0002757497896856,Time:0.9900:0.0e+00;V8:0.1650:1.8e-19;V15:0.1568:1.3e-17,Time:16.5786;V27:0.2320;V10:0.1508,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
11,5500,9500,10500,0.0126843380458276,0.017765198346725,0.0099009900990099,5.563139278419449e-07,0.0003187281546156,Time:0.9900:0.0e+00;V8:0.1895:1.4e-25;V6:0.1573:1.0e-17,Time:16.5786;V27:0.2014;V21:0.1778,5500.0,9500.0,10500.0,-0.0028971341993561,0.6666666666666666,0.0137193340299081,200.0,160.0,40.0,0.009981632232666,0.4473559856414795,,0.9900990099009901,0.33333333333333337,0.42159699711506393,0.42159699711506393,0.5784030028849361,0.7132085728518227,0.6947012135592343,1
12,6000,10000,11000,0.0081268835631893,0.0165420488760172,0.0099009900990099,-9.953352553786487e-06,0.0002711256938222,Time:0.9900:0.0e+00;V26:0.2915:1.8e-60;V27:0.1872:5.6e-25,Time:16.5786;V26:0.6038;V27:0.2994,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
13,6500,10500,11500,0.0299021381796251,0.01741668858408,0.0099009900990099,4.446635046124969e-05,0.000329120317284,Time:0.9900:0.0e+00;V26:0.3772:3.7e-102;V10:0.2442:2.2e-42,Time:16.5786;V26:0.9459;V10:0.5082,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
14,7000,11000,12000,0.0928675959709883,0.0169148871190711,0.0099009900990099,2.6843431040914916e-05,0.0003354675980004,Time:0.9898:0.0e+00;V26:0.4560:3.7e-151;V4:0.3065:6.2e-67,Time:16.5786;V26:1.1692;Amount:0.7771,,,,,1.0,0.0133924840400295,,,,,,,0.9900990099009901,0.0,0.42748773424234865,0.42748773424234865,0.5725122657576514,0.5668438274828231,-0.4716423791780665,0
15,7500,11500,12500,0.060606059440889,0.0162205574493434,0.0099009900990099,-9.530101833929993e-06,0.0002527833571159,Time:0.9885:0.0e+00;V26:0.3302:7.2e-78;V4:0.2442:2.2e-42,Time:16.5786;V26:0.7181;Amount:0.4776,7500.0,11500.0,12500.0,0.0009373527597606,0.5098039215686274,0.013451339382809,200.0,160.0,40.0,0.0080649852752685,0.472001314163208,,0.9900990099009901,0.4901960784313726,0.42641487709243947,0.42641487709243947,0.5735851229075606,0.776932962820223,1.202504740654215,1
